acceptance_rate,accepted_batch_count,accepted_count,actor_loss,actor_status,alpha,alpha_loss,certificate_failure_rate,collision,critic_loss_1,critic_loss_2,deadline_fallback_count,energy_depleted,environment_steps,episode_length,episode_return,epoch_rejection_count,fallback_batch_count,fallback_count,fallback_rate,gradient_steps,mean_condition_number,mean_log_det_G,mean_log_prob,mean_tanh_log_jacobian,mean_zonotope_volume,min_sigma,no_generator_set_rate,nonfinite_count,q_value_candidate_if_available,q_value_exec,replay_size,task_success,terminal_return_success
1.0,,1,,,,,0.0,0,,,0,0,1,1,-0.010053631104008467,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,1,0,1
1.0,,2,,,,,0.0,0,,,0,0,2,1,-0.010499680853161877,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,2,0,1
1.0,,3,,,,,0.0,0,,,0,0,3,1,-0.008235420217391756,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,3,0,0
1.0,,4,,,,,0.0,0,,,0,0,4,1,-0.011596578787115277,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,4,0,0
1.0,,5,,,,,0.0,0,,,0,0,5,1,-0.011332962464418497,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,5,0,0
1.0,,6,,,,,0.0,0,,,0,0,6,1,-0.011285041394849529,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,6,0,1
1.0,,7,,,,,0.0,0,,,0,0,7,1,-0.008692833856289486,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,7,0,0
1.0,,8,,,,,0.0,0,,,0,0,8,1,-0.00978338013120327,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,8,0,0
1.0,,9,,,,,0.0,0,,,0,0,9,1,-0.009153266335782053,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,9,0,1
1.0,,10,,,,,0.0,0,,,0,0,10,1,-0.011314188193815902,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,10,0,1
1.0,,11,,,,,0.0,0,,,0,0,11,1,-0.011092571120076436,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,11,0,0
1.0,,12,,,,,0.0,0,,,0,0,12,1,-0.009254205878600921,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,12,0,1
1.0,,13,,,,,0.0,0,,,0,0,13,1,-0.010797423997119573,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,13,0,1
1.0,,14,,,,,0.0,0,,,0,0,14,1,-0.010074621246965556,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,14,0,0
1.0,,15,,,,,0.0,0,,,0,0,15,1,-0.00832573653855139,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,15,0,0
1.0,,16,,,,,0.0,0,,,0,0,16,1,-0.009294559464088739,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,16,0,0
1.0,,17,,,,,0.0,0,,,0,0,17,1,-0.007995807331198304,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,17,0,0
1.0,,18,,,,,0.0,0,,,0,0,18,1,-0.010929775711255854,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,18,0,0
1.0,,19,,,,,0.0,0,,,0,0,19,1,-0.010503700789635797,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,19,0,0
1.0,,20,,,,,0.0,0,,,0,0,20,1,-0.010369627585830923,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,20,0,0
1.0,,21,,,,,0.0,0,,,0,0,21,1,-0.011446166817327122,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,21,0,0
1.0,,22,,,,,0.0,0,,,0,0,22,1,-0.010145032120115296,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,22,0,1
1.0,,23,,,,,0.0,0,,,0,0,23,1,-0.008024145243685102,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,23,0,0
1.0,,24,,,,,0.0,0,,,0,0,24,1,-0.011012229279298449,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,24,0,0
1.0,,25,,,,,0.0,0,,,0,0,25,1,-0.009868143596321701,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,25,0,0
1.0,,26,,,,,0.0,0,,,0,0,26,1,-0.011643206304820844,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,26,0,0
1.0,,27,,,,,0.0,0,,,0,0,27,1,-0.008837698024027443,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,27,0,0
1.0,,28,,,,,0.0,0,,,0,0,28,1,-0.011055557086294457,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,28,0,1
1.0,,29,,,,,0.0,0,,,0,0,29,1,-0.010284723725676894,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,29,0,0
1.0,,30,,,,,0.0,0,,,0,0,30,1,-0.009869033842391009,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,30,0,0
1.0,,31,,,,,0.0,0,,,0,0,31,1,-0.009243300129723622,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,31,0,0
1.0,,32,,,,,0.0,0,,,0,0,32,1,-0.010411020522493644,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,32,0,1
1.0,,33,,,,,0.0,0,,,0,0,33,1,-0.010483629963177634,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,33,0,1
1.0,,34,,,,,0.0,0,,,0,0,34,1,-0.010428130672967875,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,34,0,0
1.0,,35,,,,,0.0,0,,,0,0,35,1,-0.011142202862272512,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,35,0,0
1.0,,36,,,,,0.0,0,,,0,0,36,1,-0.011671378483715014,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,36,0,0
1.0,,37,,,,,0.0,0,,,0,0,37,1,-0.010639324170088607,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,37,0,0
1.0,,38,,,,,0.0,0,,,0,0,38,1,-0.010004607031298676,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,38,0,1
1.0,,39,,,,,0.0,0,,,0,0,39,1,-0.01014872046099379,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,39,0,1
1.0,32,40,1.6273168325424194,updated,0.20006000995635986,7.486037254333496,0.0,0,0.011777590960264206,0.0017612719675526023,0,0,40,1,-0.008555025113679218,0,0,0,0.0,1,7.986301369863012,-9.66592025756836,7.651336669921875,-2.619807720184326,0.0005072641772627839,0.009980468750000002,0.0,0,-0.1186092272400856,-0.1186092272400856,40,0,1
1.0,,41,,,,,0.0,0,,,0,0,41,1,-0.010759861610671653,0,,0,0.0,1,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,41,0,1
1.0,,42,,,,,0.0,0,,,0,0,42,1,-0.011112244357531545,0,,0,0.0,1,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,42,0,0
1.0,,43,,,,,0.0,0,,,0,0,43,1,-0.01112498413926554,0,,0,0.0,1,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,43,0,0
1.0,,44,,,,,0.0,0,,,0,0,44,1,-0.009868897025436798,0,,0,0.0,1,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,44,0,1
1.0,,45,,,,,0.0,0,,,0,0,45,1,-0.009156062967554437,0,,0,0.0,1,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,45,0,0
1.0,,46,,,,,0.0,0,,,0,0,46,1,-0.011008617294640413,0,,0,0.0,1,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,46,0,0
1.0,,47,,,,,0.0,0,,,0,0,47,1,-0.008324313822724463,0,,0,0.0,1,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,47,0,0
